rank,player_name,team,position,games,win_pct_disp,td_int_disp,passing_tds,passer_rating,rushing_tds,total_tds,pass_ypg,rushing_yards,rush_ypg,total_yards,prob_disp,headshot_url,headshot_url,team_logo_url
43,Zach Charbonnet,SEA,RB,14.0,80%,0.0,0,0.0,9,9.0,0.0,546,39.0,655,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jqbzg5e8pdltbnb7hc8p","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jqbzg5e8pdltbnb7hc8p",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/SEA.png
44,Breece Hall,NYJ,RB,15.0,20%,1.0,1,0.0,3,5.0,0.3,954,63.6,1290,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m3dviruymtm2wl2zcpmr","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m3dviruymtm2wl2zcpmr",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/NYJ.png
45,Woody Marks,HOU,RB,14.0,67%,0.0,0,0.0,2,5.0,0.0,584,41.7,788,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pwvxisrnjitkkghkfcn3","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pwvxisrnjitkkghkfcn3",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/HOU.png
46,Bucky Irving,TB,RB,8.0,47%,0.0,0,0.0,1,4.0,0.0,484,60.5,734,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmgpumoxwhvrrkcjuuuw","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmgpumoxwhvrrkcjuuuw",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/TB.png
47,Kimani Vidal,LAC,RB,12.0,73%,0.0,0,0.0,3,4.0,0.0,631,52.6,769,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/huwihtava8gkxzb4cxb8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/huwihtava8gkxzb4cxb8",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/LAC.png
48,Michael Penix Jr.,ATL,QB,9.0,40%,3.0,9,88.5,1,10.0,220.2,70,7.8,2052,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/azvyjzp2sa8cnljbp3i7","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/azvyjzp2sa8cnljbp3i7",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/ATL.png
49,Omarion Hampton,LAC,RB,8.0,73%,0.0,0,0.0,3,4.0,0.0,516,64.5,677,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ck7xcbwuka7wu2zwhssk","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ck7xcbwuka7wu2zwhssk",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/LAC.png
50,David Montgomery,DET,RB,15.0,53%,1.0,1,0.0,8,9.0,0.2,649,43.3,816,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xeb6fq4zimgkksq7uari","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xeb6fq4zimgkksq7uari",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/DET.png
51,Kyle Monangai,CHI,RB,15.0,73%,0.0,0,0.0,5,5.0,0.0,731,48.7,871,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cici2wf1walmoluhe95i","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cici2wf1walmoluhe95i",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/CHI.png
52,Blake Corum,LA,RB,15.0,73%,0.0,0,0.0,6,6.0,0.0,669,44.6,695,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gytdgnrjj3jk8rlfxz85","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gytdgnrjj3jk8rlfxz85",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/LA.png
53,Tyler Shough,NO,QB,9.0,33%,1.4,7,86.5,2,9.0,199.1,146,16.2,1938,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wsrkib8qgwtb2t2ugaru","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wsrkib8qgwtb2t2ugaru",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/NO.png
54,Kareem Hunt,KC,RB,15.0,40%,0.0,0,0.0,8,9.0,0.0,559,37.3,681,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hktvzf8hiupoycyg1kmc","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hktvzf8hiupoycyg1kmc",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/KC.png
55,Jordan Mason,MIN,RB,15.0,47%,0.0,0,0.0,6,6.0,0.0,664,44.3,715,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ixykwytfrfz1cdxlhj5w","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ixykwytfrfz1cdxlhj5w",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/MIN.png
56,Kirk Cousins,ATL,QB,8.0,40%,2.0,8,85.7,1,9.0,176.9,6,0.8,1421,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmdqr7gju0dciapvdjcv","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmdqr7gju0dciapvdjcv",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/ATL.png
57,Kenneth Gainwell,PIT,RB,15.0,60%,0.0,0,0.0,4,7.0,0.0,501,33.4,911,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f74x1ywy7oo5kq81vblh","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f74x1ywy7oo5kq81vblh",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/PIT.png
58,Cam Skattebo,NYG,RB,8.0,13%,0.0,0,0.0,5,7.0,0.0,410,51.2,617,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vnftthkbvw7ucsqtqjpq","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vnftthkbvw7ucsqtqjpq",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/NYG.png
59,Jacory Croskey-Merritt,WAS,RB,15.0,27%,0.0,0,0.0,6,6.0,0.0,671,44.7,739,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tklzj7zzve1t4z2hhr1g","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tklzj7zzve1t4z2hhr1g",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/WAS.png
60,Jaxson Dart,NYG,QB,12.0,13%,2.6,13,89.6,7,20.0,152.9,407,33.9,2242,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n6uymxssgiicjmxkzxoc","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n6uymxssgiicjmxkzxoc",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/NYG.png
61,Chuba Hubbard,CAR,RB,13.0,53%,0.0,0,0.0,1,4.0,0.0,489,37.6,699,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjgml85ghq7oa48dctn7","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjgml85ghq7oa48dctn7",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/CAR.png
62,Tua Tagovailoa,MIA,QB,14.0,40%,1.33,20,88.5,0,20.0,190.0,43,3.1,2703,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ktqj3s5vofexl2dwrrp4","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ktqj3s5vofexl2dwrrp4",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/MIA.png
63,Rhamondre Stevenson,NE,RB,12.0,80%,0.0,0,0.0,4,4.0,0.0,425,35.4,693,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ed09migntlyy8ntgvcu1","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ed09migntlyy8ntgvcu1",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/NE.png
64,Tyler Allgeier,ATL,RB,15.0,40%,0.0,0,0.0,8,8.0,0.0,475,31.7,568,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/buwaomfsz4y6orgb0cyg","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/buwaomfsz4y6orgb0cyg",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/ATL.png
